designation,full_name,close_approach_date,distance_au,dist_km,dist_lunar,distance_min_au,distance_max_au,velocity_km_s,v_rel_kmh,velocity_infinity_km_s,absolute_magnitude,is_future
2015 BH92,       (2015 BH92),2015-02-12 10:26,0.0717032541494092,10726654.0,27.9,0.0716958378466419,0.0717106704395088,2.93754887244405,10575.0,2.9248715795655,25.0,False
2022 DA,       (2022 DA),2015-02-12 17:57,0.0172454361761594,2579881.0,6.71,0.0172442428301129,0.0172466295222489,7.69166166316989,27690.0,7.67154823006587,25.16,False
2023 XS13,       (2023 XS13),2015-02-12 18:40,0.0240485906867131,3597618.0,9.36,0.0197205107518056,0.0305530818295744,9.18078748271907,33051.0,9.16871133226573,24.27,False
2015 DC155,       (2015 DC155),2015-02-12 20:04,0.0272770686034886,4080591.0,10.62,0.0270811933640284,0.0274729390850391,10.7427014697359,38674.0,10.7336047446731,25.4,False
2012 BH86,       (2012 BH86),2015-02-13 02:09,0.0901013390598521,13478968.0,35.06,0.0035375553509483,0.24278516798184,13.8073503290809,49706.0,13.805208403121,24.4,False
2015 DE1,       (2015 DE1),2015-02-13 08:45,0.0271060390354583,4055006.0,10.55,0.0270467978635023,0.0271652799213848,13.31587698278,47937.0,13.3084928932282,23.3,False
2015 CO,       (2015 CO),2015-02-13 16:07,0.0521104804085419,7795617.0,20.28,0.0517698638363322,0.0524510685470984,4.01443315637689,14452.0,4.00167600664952,26.2,False
2015 AA44,       (2015 AA44),2015-02-14 02:52,0.04896948063069,7325730.0,19.06,0.0489456650513779,0.0489932961731555,8.10390950091179,29174.0,8.09719254810497,23.9,False
2015 FM35,       (2015 FM35),2015-02-14 03:56,0.0794000653559295,11878081.0,30.9,0.0774114487773153,0.0813884781040532,5.30466027370257,19097.0,5.29833042817028,24.6,False
2015 DB156,       (2015 DB156),2015-02-14 06:39,0.0898901763777805,13447379.0,34.98,0.0878030300833248,0.0919773485789478,14.065994834143,50638.0,14.0638873602347,24.87,False
2023 PM1,       (2023 PM1),2015-02-14 07:27,0.0363171400959706,5432967.0,14.13,0.0363170347417643,0.0363172454502161,19.0556072117197,68600.0,19.0517566702581,23.63,False
2015 BV4,       (2015 BV4),2015-02-14 08:51,0.0657727601182232,9839465.0,25.6,0.0657348655751515,0.0658106545996916,7.51548665085484,27056.0,7.51009446307323,23.8,False
2015 DM155,       (2015 DM155),2015-02-14 21:51,0.0228493742106361,3418218.0,8.89,0.0227289522148526,0.0229697931221335,9.79497694792709,35262.0,9.78306456083742,25.72,False
2015 CK13,       (2015 CK13),2015-02-15 01:02,0.0184669470737909,2762616.0,7.19,0.0184196476544185,0.0185142457119479,9.42406432081053,33927.0,9.40874172963922,27.2,False
2015 CS,       (2015 CS),2015-02-15 11:21,0.0086218508419835,1289811.0,3.36,0.0086137096020985,0.0086299919499343,8.52176655395458,30678.0,8.48542451778611,26.4,False
